Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,assignment
HG00177,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.93732,1e-05,0.012478,0.050152,1e-05,1e-05,1e-05,1e-05,0
HG00178,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.965315,1e-05,0.001545,0.03309,1e-05,1e-05,1e-05,1e-05,0
HG00179,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.940055,1e-05,0.014709,0.045185,1e-05,1e-05,1e-05,1e-05,0
HG00180,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.950436,1e-05,0.008848,0.040667,1e-05,1e-05,1e-05,1e-05,0
HG00181,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.933458,1e-05,0.004219,0.033897,1e-05,1e-05,0.00169,0.026706,0
HG00182,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.945243,1e-05,0.012763,0.041944,1e-05,1e-05,1e-05,1e-05,0
HG00183,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.950162,1e-05,0.012678,0.037102,1e-05,1e-05,1.8e-05,1e-05,0
HG00185,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.952919,1e-05,0.010276,0.036755,1e-05,1e-05,1e-05,1e-05,0
HG00186,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.950407,1e-05,0.01371,0.035832,1e-05,1e-05,1e-05,1e-05,0
HG00187,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.942042,1e-05,0.010296,0.047612,1e-05,1e-05,1e-05,1e-05,0
HG00188,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.961917,1e-05,0.007937,0.030097,1e-05,1e-05,1e-05,1e-05,0
HG00189,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.952074,1e-05,0.017211,0.030665,1e-05,1e-05,1e-05,1e-05,0
HG00190,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_C10,Finland,,1.0,0.972594,1e-05,0.005582,0.021775,1e-05,1e-05,1e-05,1e-05,0
HG00231,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00232,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00233,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00234,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00235,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00236,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00237,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00238,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00239,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00240,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00242,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00243,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00244,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999921,1e-05,1.5e-05,1e-05,1.4e-05,1e-05,1e-05,1e-05,0
HG00245,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00246,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00250,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.995058,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.004882,0
HG00251,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00252,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00253,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00254,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00255,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999928,1e-05,1.1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,0
HG00256,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00257,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00258,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00259,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999929,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00260,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00261,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00262,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00263,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00264,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00265,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999922,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0
HG00266,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.959262,1e-05,0.006168,0.03452,1e-05,1e-05,1e-05,1e-05,0
HG00267,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.951123,1e-05,0.008817,0.040011,1e-05,1e-05,1e-05,1e-05,0
HG00268,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.972983,1e-05,0.006067,0.0209,1e-05,1e-05,1e-05,1e-05,0
HG00269,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.953485,1e-05,0.012197,0.034268,1e-05,1e-05,1e-05,1e-05,0
HG00271,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.931742,1e-05,0.019976,0.048222,1e-05,1e-05,2e-05,1e-05,0
HG00272,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.93125,1e-05,0.014794,0.053906,1e-05,1e-05,1e-05,1e-05,0
HG00273,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.969835,1e-05,1e-05,0.030105,1e-05,1e-05,1e-05,1e-05,0
HG00274,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.969815,1e-05,0.016715,0.01342,1e-05,1e-05,1e-05,1e-05,0
HG00275,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.975299,1e-05,0.008243,0.016408,1e-05,1e-05,1e-05,1e-05,0
HG00276,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.960241,1e-05,0.006938,0.032771,1e-05,1e-05,1e-05,1e-05,0
HG00277,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.982961,1e-05,0.004404,0.012585,1e-05,1e-05,1e-05,1e-05,0
HG00278,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.954263,1e-05,0.011737,0.03395,1e-05,1e-05,1e-05,1e-05,0
HG00280,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.961188,1e-05,0.004001,0.034761,1e-05,1e-05,1e-05,1e-05,0
HG00281,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.956938,1e-05,0.015118,0.027894,1e-05,1e-05,1e-05,1e-05,0
HG00282,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.962929,1e-05,0.004798,0.032222,1e-05,1e-05,1e-05,1e-05,0
HG00284,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.958085,1e-05,0.013392,0.028472,1e-05,1e-05,1e-05,1e-05,0
HG00285,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.944757,1e-05,0.01784,0.037353,1e-05,1e-05,1e-05,1e-05,0
HG00288,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.954628,1e-05,0.013143,0.032179,1e-05,1e-05,1e-05,1e-05,0
HG00290,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.941378,1e-05,0.010536,0.048036,1e-05,1e-05,1e-05,1e-05,0
HG00304,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.960869,1e-05,0.006511,0.03257,1e-05,1e-05,1e-05,1e-05,0
HG00306,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.967876,1e-05,0.006208,0.025866,1e-05,1e-05,1e-05,1e-05,0
HG00308,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.939217,1e-05,0.009088,0.050046,1e-05,1e-05,0.001608,1e-05,0
HG00309,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.95795,1e-05,0.015522,0.026478,1e-05,1e-05,1e-05,1e-05,0
HG00310,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.974296,1e-05,0.014288,0.011365,1e-05,1e-05,1e-05,1e-05,0
HG00311,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.989344,1e-05,0.010596,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00313,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.946578,1e-05,0.008724,0.044125,1e-05,1e-05,0.000533,1e-05,0
HG00315,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.945113,1e-05,0.016691,0.038146,1e-05,1e-05,1e-05,1e-05,0
HG00318,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.971299,1e-05,0.002652,0.025999,1e-05,1e-05,1e-05,1e-05,0
