pca,location,count,total_country,percentage
PC0,"United States of America (the)",3,104,2.88
PC0,"Barbados",96,96,100.00
PC0,"Nigeria",229,229,100.00
PC0,"Pakistan",2,264,0.76
PC0,"Israel",1,46,2.17
PC0,"Botswana",4,5,80.00
PC0,"Algeria",1,27,3.70
PC0,"Tanzania, United Republic of",11,11,100.00
PC0,"Namibia",2,7,28.57
PC0,"Kenya",104,104,100.00
PC0,"South Sudan",3,3,100.00
PC0,"South Africa",2,4,50.00
PC1,"Colombia",30,101,29.70
PC1,"Peru",88,88,100.00
PC1,"Brazil",20,20,100.00
PC1,"Argentina",1,1,100.00
PC2,"Pakistan",66,264,25.00
PC2,"Afghanistan",1,19,5.26
PC2,"Palestine, State of",89,89,100.00
PC2,"Israel",45,46,97.83
PC2,"Italy",1,155,0.65
PC2,"Algeria",26,27,96.30
PC2,"Russian Federation (the)",19,51,37.25
PC2,"Georgia",4,4,100.00
PC2,"Iran (Islamic Republic of)",2,2,100.00
PC2,"Somalia",1,1,100.00
PC2,"Jordan",3,3,100.00
PC2,"Azerbaijan",1,1,100.00
PC2,"Greece",3,4,75.00
PC2,"Turkey",3,3,100.00
PC2,"Iraq",2,2,100.00
PC2,"Yemen",2,2,100.00
PC2,"Morocco",2,2,100.00
PC3,"United Kingdom of Great Britain and Northern Ireland (the)",106,106,100.00
PC3,"Finland",101,101,100.00
PC3,"United States of America (the)",101,104,97.12
PC3,"Colombia",71,101,70.30
PC3,"Spain",107,107,100.00
PC3,"France",51,51,100.00
PC3,"Italy",154,155,99.35
PC3,"Russian Federation (the)",29,51,56.86
PC3,"Bulgaria",2,2,100.00
PC3,"Hungary",2,2,100.00
PC3,"Iceland",2,2,100.00
PC3,"Estonia",2,2,100.00
PC3,"Greece",1,4,25.00
PC3,"Czechia",1,1,100.00
PC3,"Tajikistan",1,2,50.00
PC3,"Norway",1,1,100.00
PC3,"Poland",1,1,100.00
PC3,"Albania",1,1,100.00
PC4,"Pakistan",196,264,74.24
PC4,"Sri Lanka",101,101,100.00
PC4,"India",208,220,94.55
PC4,"Afghanistan",2,19,10.53
PC4,"China",1,19,5.26
PC4,"Tajikistan",1,2,50.00
PC5,"Afghanistan",16,19,84.21
PC5,"China",18,19,94.74
PC5,"Russian Federation (the)",3,51,5.88
PC5,"Nepal",2,2,100.00
PC5,"Kyrgyzstan",2,2,100.00
PC6,"India",12,220,5.45
PC7,"Gambia (the)",113,113,100.00
PC7,"Sierra Leone",85,85,100.00
PC7,"Guinea",22,22,100.00
PC8,"Congo (the Democratic Republic of the)",13,13,100.00
PC8,"Central African Republic (the)",22,22,100.00
PC8,"Namibia",5,7,71.43
PC8,"Botswana",1,5,20.00
PC8,"South Africa",2,4,50.00
