pca,location,count,total_country,percentage
PC0,"Algeria",5312,5973,88.93
PC0,"Angola",5312,5973,88.93
PC0,"Benin",5312,5973,88.93
PC0,"Botswana",5312,5973,88.93
PC0,"Burkina Faso",5312,5973,88.93
PC0,"Burundi",5312,5973,88.93
PC0,"Cameroon",5312,5973,88.93
PC0,"Cape Verde",5312,5973,88.93
PC0,"Central African Republic",5312,5973,88.93
PC0,"Chad",5312,5973,88.93
PC0,"Comoros",5312,5973,88.93
PC0,"Cote d'Ivoire",5312,5973,88.93
PC0,"Democratic Republic of the Congo",5312,5973,88.93
PC0,"Djibouti",5312,5973,88.93
PC0,"Egypt",5312,5973,88.93
PC0,"Equatorial Guinea",5312,5973,88.93
PC0,"Eritrea",5312,5973,88.93
PC0,"Ethiopia",5312,5973,88.93
PC0,"Gabon",5312,5973,88.93
PC0,"Gambia",5312,5973,88.93
PC0,"Ghana",5312,5973,88.93
PC0,"Guinea",5312,5973,88.93
PC0,"Guinea-Bissau",5312,5973,88.93
PC0,"Kenya",5312,5973,88.93
PC0,"Lesotho",5312,5973,88.93
PC0,"Liberia",5312,5973,88.93
PC0,"Libya",5312,5973,88.93
PC0,"Madagascar",5312,5973,88.93
PC0,"Malawi",5312,5973,88.93
PC0,"Mali",5312,5973,88.93
PC0,"Mauritania",5312,5973,88.93
PC0,"Mauritius",5312,5973,88.93
PC0,"Morocco",5312,5973,88.93
PC0,"Mozambique",5312,5973,88.93
PC0,"Namibia",5312,5973,88.93
PC0,"Niger",5312,5973,88.93
PC0,"Nigeria",5312,5973,88.93
PC0,"Republic of the Congo",5312,5973,88.93
PC0,"Reunion",5312,5973,88.93
PC0,"Rwanda",5312,5973,88.93
PC0,"Saint Helena",5312,5973,88.93
PC0,"Sao Tome and Principe",5312,5973,88.93
PC0,"Senegal",5312,5973,88.93
PC0,"Seychelles",5312,5973,88.93
PC0,"Sierra Leone",5312,5973,88.93
PC0,"Somalia",5312,5973,88.93
PC0,"South Africa",5312,5973,88.93
PC0,"South Sudan",5312,5973,88.93
PC0,"Sudan",5312,5973,88.93
PC0,"Swaziland",5312,5973,88.93
PC0,"Tanzania",5312,5973,88.93
PC0,"Togo",5312,5973,88.93
PC0,"Tunisia",5312,5973,88.93
PC0,"Uganda",5312,5973,88.93
PC0,"Western Sahara",5312,5973,88.93
PC0,"Zambia",5312,5973,88.93
PC0,"Zimbabwe",5312,5973,88.93
PC2,"Afghanistan",788,7195,10.95
PC2,"Armenia",788,7195,10.95
PC2,"Azerbaijan",788,7195,10.95
PC2,"Bahrain",788,7195,10.95
PC2,"Bangladesh",788,7195,10.95
PC2,"Bhutan",788,7195,10.95
PC2,"Brunei",788,7195,10.95
PC2,"Burma",788,7195,10.95
PC2,"Cambodia",788,7195,10.95
PC2,"China",788,7195,10.95
PC2,"Cyprus",788,7195,10.95
PC2,"East Timor",788,7195,10.95
PC2,"Georgia",788,7195,10.95
PC2,"Hong Kong",788,7195,10.95
PC2,"India",788,7195,10.95
PC2,"Indonesia",788,7195,10.95
PC2,"Iran",788,7195,10.95
PC2,"Iraq",788,7195,10.95
PC2,"Israel",788,7195,10.95
PC2,"Japan",788,7195,10.95
PC2,"Jordan",788,7195,10.95
PC2,"Kazakhstan",788,7195,10.95
PC2,"Kuwait",788,7195,10.95
PC2,"Kyrgyzstan",788,7195,10.95
PC2,"Laos",788,7195,10.95
PC2,"Lebanon",788,7195,10.95
PC2,"Macau",788,7195,10.95
PC2,"Malaysia",788,7195,10.95
PC2,"Maldives",788,7195,10.95
PC2,"Mongolia",788,7195,10.95
PC2,"Nepal",788,7195,10.95
PC2,"North Korea",788,7195,10.95
PC2,"Oman",788,7195,10.95
PC2,"Pakistan",788,7195,10.95
PC2,"Philippines",788,7195,10.95
PC2,"Qatar",788,7195,10.95
PC2,"Saudi Arabia",788,7195,10.95
PC2,"Singapore",788,7195,10.95
PC2,"South Korea",788,7195,10.95
PC2,"Sri Lanka",788,7195,10.95
PC2,"Syria",788,7195,10.95
PC2,"Taiwan",788,7195,10.95
PC2,"Tajikistan",788,7195,10.95
PC2,"Thailand",788,7195,10.95
PC2,"Turkey",788,7195,10.95
PC2,"Turkmenistan",788,7195,10.95
PC2,"United Arab Emirates",788,7195,10.95
PC2,"Uzbekistan",788,7195,10.95
PC2,"Vietnam",788,7195,10.95
PC2,"Yemen",788,7195,10.95
PC3,"Albania",1936,1936,100.00
PC3,"Andorra",1936,1936,100.00
PC3,"Austria",1936,1936,100.00
PC3,"Belarus",1936,1936,100.00
PC3,"Belgium",1936,1936,100.00
PC3,"Bosnia and Herzegovina",1936,1936,100.00
PC3,"Bulgaria",1936,1936,100.00
PC3,"Croatia",1936,1936,100.00
PC3,"Czech Republic",1936,1936,100.00
PC3,"Denmark",1936,1936,100.00
PC3,"Estonia",1936,1936,100.00
PC3,"Finland",1936,1936,100.00
PC3,"France",1936,1936,100.00
