Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,8,assignment
HG03175,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999919,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03189,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03190,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999914,1e-05,1.3e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,0
HG03193,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999919,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03195,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.970771,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.029159,1e-05,0
HG03196,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999919,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03198,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999918,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,0
HG03199,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.999917,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,0
HG03202,ESN,Esan,AFR,African,1kG,8.08943895,9.59411452,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03209,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.320366,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.679564,1e-05,7
HG03212,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.346712,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.653218,1e-05,7
HG03224,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.308665,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.691265,1e-05,7
HG03225,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.311616,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,0.68831,1e-05,7
HG03228,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,1e-05,0.048991,0.505607,1e-05,0.445342,1e-05,1e-05,4
HG03229,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,1e-05,0.038572,0.497346,1e-05,0.464023,1e-05,1e-05,4
HG03234,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.060435,0.123803,0.448968,1e-05,0.366744,1e-05,1e-05,4
HG03235,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1.2e-05,1e-05,0.063986,0.083183,0.470489,0.000572,0.381727,1e-05,1e-05,4
HG03237,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.071967,0.141831,0.441729,1e-05,0.344423,1e-05,1e-05,4
HG03238,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.072465,0.168618,0.440276,1e-05,0.318591,1e-05,1e-05,4
HG03240,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,7
HG03241,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1.7e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999913,1e-05,7
HG03246,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,1e-05,0.005157,1e-05,1e-05,0.994773,1e-05,7
HG03247,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,0.007535,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.992395,1e-05,7
HG03258,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,7
HG03259,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,1e-05,0.004707,1e-05,1e-05,0.995223,1e-05,7
HG03265,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999918,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03267,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999907,1.2e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1.7e-05,1e-05,0
HG03268,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03270,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03271,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999916,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1e-05,1e-05,0
HG03279,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999913,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1.3e-05,1e-05,0
HG03280,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03291,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03294,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999914,1.2e-05,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1e-05,0
HG03295,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03297,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999919,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03298,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.975997,1e-05,1e-05,1e-05,0.001664,1e-05,1e-05,0.022279,1e-05,0
HG03300,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999918,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03301,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03303,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999917,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,0
HG03304,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999917,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,0
HG03311,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999918,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,0
HG03313,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999913,1e-05,1e-05,1.3e-05,1.4e-05,1e-05,1e-05,1e-05,1e-05,0
HG03342,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99643,1e-05,1e-05,1e-05,0.0035,1e-05,1e-05,1e-05,1e-05,0
HG03343,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03351,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03352,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999917,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,0
HG03354,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03363,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99949,1e-05,1e-05,1e-05,0.00044,1e-05,1e-05,1e-05,1e-05,0
HG03366,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03367,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03369,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.98251,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.01742,1e-05,0
HG03370,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03372,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999918,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,0
HG03376,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.305721,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.694208,1e-05,7
HG03378,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.326455,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,0.673474,1e-05,7
HG03380,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.299299,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.700631,1e-05,7
HG03382,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.274297,1e-05,1e-05,1.6e-05,1.1e-05,1e-05,1e-05,0.725626,1e-05,7
HG03385,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.320738,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,0.679189,1e-05,7
HG03388,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.224328,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.775602,1e-05,7
HG03391,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.290067,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.709863,1e-05,7
HG03394,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.317585,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.682343,1e-05,7
HG03397,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.313265,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.686665,1e-05,7
HG03401,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.297311,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.702619,1e-05,7
HG03410,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.26077,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.73916,1e-05,7
HG03419,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.282341,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.717589,1e-05,7
HG03428,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.223232,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.776695,1e-05,7
HG03432,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.344573,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0.655356,1e-05,7
HG03433,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.322745,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.677185,1e-05,7
HG03436,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.295074,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,0.70485,1e-05,7
HG03437,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.24403,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.7559,1e-05,7
HG03439,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.238873,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.761056,1e-05,7
HG03442,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.299543,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,0.700385,1e-05,7
HG03445,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.263914,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.736016,1e-05,7
HG03446,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.272427,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.727503,1e-05,7
HG03449,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.311264,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.688666,1e-05,7
HG03451,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.260069,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.739861,1e-05,7
HG03452,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.318122,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,0.6818,1e-05,7
HG03455,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.331937,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,0.667989,1e-05,7
HG03457,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.283679,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,0.716251,1e-05,7
HG03458,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.269155,1e-05,1e-05,1.4e-05,1.7e-05,1.1e-05,1e-05,0.730762,1e-05,7
HG03460,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.318822,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.681106,1e-05,7
HG03461,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.301456,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.698474,1e-05,7
HG03464,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.291276,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.708654,1e-05,7
HG03469,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.260749,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.739181,1e-05,7
HG03470,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.294243,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.705687,1e-05,7
HG03472,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.263245,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.736685,1e-05,7
HG03473,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.236268,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,0.763659,1e-05,7
HG03476,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.334364,1.4e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.665562,1e-05,7
HG03478,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.282685,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.717245,1e-05,7
HG03479,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.31517,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.68476,1e-05,7
HG03484,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.275667,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.724263,1e-05,7
HG03485,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.31445,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.685478,1e-05,7
HG03488,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,0.000567,1e-05,0.135953,0.476429,1e-05,0.387002,1e-05,1e-05,4
HG03490,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1.4e-05,1e-05,0.057501,0.120445,0.453975,1.5e-05,0.368021,1e-05,1e-05,4
HG03491,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,1e-05,0.058479,0.502997,0.00049,0.437984,1e-05,1e-05,4
HG03499,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.987601,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.012328,1e-05,0
HG03511,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03514,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03515,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999919,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03517,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03518,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.999918,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,0
HG03520,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.996619,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.003311,1e-05,0
HG03521,ESN,Esan,AFR,African,1kG,9.59411452,8.08943895,Nigeria,,,,1.0,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG03538,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,7
HG03539,GWD,Gambian Mandinka,AFR,African,1kG,13.25,-16.316667,Western Division of Gambia,,,,1.0,1e-05,1e-05,1e-05,0.004572,0.025182,1e-05,1e-05,0.970186,1e-05,7
HG03547,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.268593,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.731337,1e-05,7
HG03548,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.317947,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.681982,1e-05,7
HG03556,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.279271,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.720659,1e-05,7
HG03557,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.378189,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.621741,1e-05,7
HG03558,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.301425,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.698504,1e-05,7
HG03559,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.318706,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,0.681216,1e-05,7
HG03563,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.32991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.67002,1e-05,7
HG03565,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.285918,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.714012,1e-05,7
HG03567,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.26014,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.739789,1e-05,7
HG03571,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.289948,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.709981,1e-05,7
HG03572,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.301555,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,0.698372,1e-05,7
HG03575,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.362794,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,0.637134,1e-05,7
HG03577,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.351471,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.648458,1e-05,7
HG03578,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.253776,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0.746153,1e-05,7
HG03583,MSL,Mende,AFR,African,1kG,8.56329593,-11.79271247,Sierra Leone,,,,1.0,0.321959,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.677971,1e-05,7
HG03585,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1.1e-05,1e-05,1e-05,0.016216,0.494596,0.07565,0.413487,1e-05,1e-05,4
HG03589,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.00454,0.497859,0.055519,0.442032,1e-05,1e-05,4
HG03593,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1.3e-05,1e-05,1e-05,0.006527,0.498658,0.078336,0.416426,1e-05,1e-05,4
HG03594,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,1e-05,0.506367,0.071306,0.422267,1e-05,1e-05,4
HG03595,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.015898,0.493171,0.086337,0.404544,1e-05,1e-05,4
HG03598,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,0.004028,1.9e-05,0.01693,0.493223,0.068908,0.416863,1e-05,1e-05,4
HG03600,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1.7e-05,1e-05,1e-05,0.525572,0.000498,0.473863,1e-05,1e-05,4
HG03603,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.002707,0.507781,0.072181,0.417282,1e-05,1e-05,4
HG03604,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.023753,0.493083,0.065868,0.417245,1e-05,1e-05,4
HG03607,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.028829,0.486409,0.089395,0.395317,1e-05,1e-05,4
HG03611,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1.2e-05,1e-05,1e-05,0.024812,0.496361,0.075723,0.403052,1e-05,1e-05,4
HG03615,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1e-05,1e-05,1e-05,0.02569,0.496202,0.070327,0.407732,1e-05,1e-05,4
HG03616,BEB,Bengali,SAS,South Asian,1kG,23.86731158,90.23812743,Bangladesh,,,,1.0,1.1e-05,1e-05,1e-05,1e-05,0.50771,0.069357,0.422871,1e-05,1e-05,4
HG03619,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,0.003477,0.073947,0.166962,0.420427,1e-05,0.335148,1e-05,1e-05,4
HG03624,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.053991,0.150853,0.441073,1e-05,0.354033,1e-05,1e-05,4
HG03625,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.088101,0.151617,0.418221,1e-05,0.342012,1e-05,1e-05,4
HG03629,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,2e-05,5.8e-05,0.040517,0.124994,0.45602,1.1e-05,0.37836,1e-05,1e-05,4
HG03631,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.049269,0.109341,0.454567,1e-05,0.386773,1e-05,1e-05,4
HG03634,PJL,Punjabi,SAS,South Asian,1kG,31.549722,74.343611,"Lahore, Pakistan",,,,1.0,1e-05,1e-05,0.043391,0.147024,0.455019,1e-05,0.354515,1e-05,1e-05,4
