IND,0,1,2,3,4
HG03105,1e-05,1e-05,1e-05,1e-05,0.99996
HG03108,1e-05,1e-05,1e-05,1e-05,0.99996
HG03109,1e-05,1e-05,1e-05,1e-05,0.99996
HG03112,1e-05,1e-05,1e-05,1e-05,0.99996
HG03114,1e-05,1e-05,1e-05,1e-05,0.99996
HG03115,1e-05,1e-05,1e-05,1e-05,0.99996
HG03117,1e-05,1e-05,1e-05,1e-05,0.99996
HG03118,1e-05,1e-05,1e-05,1e-05,0.99996
HG03120,1e-05,1e-05,1e-05,1e-05,0.99996
HG03121,1e-05,1e-05,1e-05,1e-05,0.99996
HG03123,1e-05,1e-05,1e-05,1e-05,0.99996
HG03124,1e-05,1e-05,1e-05,1e-05,0.99996
HG03126,1e-05,1e-05,1e-05,1e-05,0.99996
HG03127,1e-05,1e-05,1e-05,1e-05,0.99996
HG03129,1e-05,1e-05,1e-05,1e-05,0.99996
HG03130,1e-05,1e-05,1e-05,1e-05,0.99996
HG03132,1e-05,1e-05,1e-05,1e-05,0.99996
HG03133,1e-05,1e-05,1e-05,1e-05,0.99996
HG03135,1e-05,1e-05,1e-05,1e-05,0.99996
HG03136,1e-05,1e-05,1e-05,1e-05,0.99996
HG03139,1e-05,1e-05,1e-05,1e-05,0.99996
HG03157,1e-05,1e-05,1e-05,1e-05,0.99996
HG03159,1e-05,1e-05,1e-05,1e-05,0.99996
HG03160,1e-05,1e-05,1e-05,1e-05,0.99996
HG03162,1e-05,1e-05,1e-05,1e-05,0.99996
HG03163,1e-05,1e-05,1e-05,1e-05,0.99996
HG03166,1e-05,1e-05,1e-05,1e-05,0.99996
HG03168,1e-05,1e-05,1e-05,1e-05,0.99996
HG03169,1e-05,1e-05,1e-05,1e-05,0.99996
HG03172,1e-05,1e-05,1e-05,1e-05,0.99996
HG03175,1e-05,1e-05,1e-05,1e-05,0.99996
HG03189,1e-05,1e-05,1e-05,1e-05,0.99996
HG03190,1e-05,1e-05,1e-05,1e-05,0.99996
HG03193,1e-05,1e-05,1e-05,1e-05,0.99996
HG03195,1e-05,1e-05,1e-05,1e-05,0.99996
HG03196,1e-05,1e-05,1e-05,1e-05,0.99996
HG03198,1e-05,1e-05,1e-05,1e-05,0.99996
HG03199,1e-05,1e-05,1e-05,1e-05,0.99996
HG03202,1e-05,1e-05,1e-05,1e-05,0.99996
HG03209,1e-05,1e-05,1e-05,1e-05,0.99996
HG03212,1e-05,1e-05,1e-05,1e-05,0.99996
HG03224,1e-05,1e-05,1e-05,1e-05,0.99996
HG03225,1e-05,1e-05,1e-05,1e-05,0.99996
HG03240,1e-05,1e-05,1e-05,1e-05,0.99996
HG03241,1e-05,1e-05,1e-05,1e-05,0.99996
HG03247,1e-05,1e-05,1e-05,1e-05,0.99996
HG03258,1e-05,1e-05,1e-05,1e-05,0.99996
HG03265,1e-05,1e-05,1e-05,1e-05,0.99996
HG03267,1e-05,1e-05,1e-05,1e-05,0.99996
HG03268,1e-05,1e-05,1e-05,1e-05,0.99996
HG03270,1e-05,1e-05,1e-05,1e-05,0.99996
HG03271,1e-05,1e-05,1e-05,1e-05,0.99996
HG03279,1e-05,1e-05,1e-05,1e-05,0.99996
HG03280,1e-05,1e-05,1e-05,1e-05,0.99996
HG03291,1e-05,1e-05,1e-05,1e-05,0.99996
HG03294,1e-05,1e-05,1e-05,1e-05,0.99996
HG03295,1e-05,1e-05,1e-05,1e-05,0.99996
HG03297,1e-05,1e-05,1e-05,1e-05,0.99996
HG03298,1e-05,1e-05,1e-05,1e-05,0.99996
HG03300,1e-05,1e-05,1e-05,1e-05,0.99996
HG03301,1e-05,1e-05,1e-05,1e-05,0.99996
HG03303,1e-05,1e-05,1e-05,1e-05,0.99996
HG03304,1e-05,1e-05,1e-05,1e-05,0.99996
HG03311,1e-05,1e-05,1e-05,1e-05,0.99996
HG03313,1e-05,1e-05,1e-05,1e-05,0.99996
HG03342,1e-05,1e-05,1e-05,1e-05,0.99996
HG03343,1e-05,1e-05,1e-05,1e-05,0.99996
HG03351,1e-05,1e-05,1e-05,1e-05,0.99996
HG03352,1e-05,1e-05,1e-05,1e-05,0.99996
HG03354,1e-05,1e-05,1e-05,1e-05,0.99996
HG03363,1e-05,1e-05,1e-05,1e-05,0.99996
HG03366,1e-05,1e-05,1e-05,1e-05,0.99996
HG03370,1e-05,1e-05,1e-05,1e-05,0.99996
HG03372,1e-05,1e-05,1e-05,1e-05,0.99996
HG03376,1e-05,1e-05,1e-05,1e-05,0.99996
HG03378,1e-05,1e-05,1e-05,1e-05,0.99996
HG03380,1e-05,1e-05,1e-05,1e-05,0.99996
HG03382,1e-05,1e-05,1e-05,1e-05,0.99996
HG03385,1e-05,1e-05,1e-05,1e-05,0.99996
HG03391,1e-05,1e-05,1e-05,1e-05,0.99996
HG03394,1e-05,1e-05,1e-05,1e-05,0.99996
HG03397,1e-05,1e-05,1e-05,1e-05,0.99996
HG03410,1e-05,1e-05,1e-05,1e-05,0.99996
HG03419,1e-05,1e-05,1e-05,1e-05,0.99996
HG03428,1e-05,1e-05,1e-05,1e-05,0.99996
HG03432,1e-05,1e-05,1e-05,1e-05,0.99996
HG03433,1e-05,1e-05,1e-05,1e-05,0.99996
HG03436,1e-05,1e-05,1e-05,1e-05,0.99996
HG03437,1e-05,1e-05,1e-05,1e-05,0.99996
HG03439,1e-05,1e-05,1e-05,1e-05,0.99996
HG03442,1e-05,1e-05,1e-05,1e-05,0.99996
HG03446,1e-05,1e-05,1e-05,1e-05,0.99996
HG03449,1e-05,1e-05,1e-05,1e-05,0.99996
HG03451,1e-05,1e-05,1e-05,1e-05,0.99996
HG03452,1e-05,1e-05,1e-05,1e-05,0.99996
HG03455,1e-05,1e-05,1e-05,1e-05,0.99996
HG03457,1e-05,1e-05,1e-05,1e-05,0.99996
HG03458,1e-05,1e-05,1e-05,1e-05,0.99996
HG03460,1e-05,1e-05,1e-05,1e-05,0.99996
HG03461,1e-05,1e-05,1e-05,1e-05,0.99996
HG03464,1e-05,1e-05,1e-05,1e-05,0.99996
HG03469,1e-05,1e-05,1e-05,1e-05,0.99996
HG03470,1e-05,1e-05,1e-05,1e-05,0.99996
HG03472,1e-05,1e-05,1e-05,1e-05,0.99996
HG03473,1e-05,1e-05,1e-05,1e-05,0.99996
HG03476,1e-05,1e-05,1e-05,1e-05,0.99996
HG03478,1e-05,1e-05,1e-05,1e-05,0.99996
HG03479,1e-05,1e-05,1e-05,1e-05,0.99996
HG03484,1e-05,1e-05,1e-05,1e-05,0.99996
HG03485,1e-05,1e-05,1e-05,1e-05,0.99996
HG03499,1e-05,1e-05,1e-05,1e-05,0.99996
HG03511,1e-05,1e-05,1e-05,1e-05,0.99996
HG03514,1e-05,1e-05,1e-05,1e-05,0.99996
HG03515,1e-05,1e-05,1e-05,1e-05,0.99996
HG03517,1e-05,1e-05,1e-05,1e-05,0.99996
HG03518,1e-05,1e-05,1e-05,1e-05,0.99996
HG03520,1e-05,1e-05,1e-05,1e-05,0.99996
HG03521,1e-05,1e-05,1e-05,1e-05,0.99996
HG03538,1e-05,1e-05,1e-05,1e-05,0.99996
HG03547,1e-05,1e-05,1e-05,1e-05,0.99996
HG03548,1e-05,1e-05,1e-05,1e-05,0.99996
HG03556,1e-05,1e-05,1e-05,1e-05,0.99996
HG03557,1e-05,1e-05,1e-05,1e-05,0.99996
HG03558,1e-05,1e-05,1e-05,1e-05,0.99996
HG03559,1e-05,1e-05,1e-05,1e-05,0.99996
HG03563,1e-05,1e-05,1e-05,1e-05,0.99996
HG03565,1e-05,1e-05,1e-05,1e-05,0.99996
HG03567,1e-05,1e-05,1e-05,1e-05,0.99996
HG03571,1e-05,1e-05,1e-05,1e-05,0.99996
HG03572,1e-05,1e-05,1e-05,1e-05,0.99996
HG03575,1e-05,1e-05,1e-05,1e-05,0.99996
HG03577,1e-05,1e-05,1e-05,1e-05,0.99996
HG03578,1e-05,1e-05,1e-05,1e-05,0.99996
HG03583,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00849,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP00854,1e-05,1e-05,1e-05,0.999388,0.000582
HGDP00904,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00906,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00907,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00908,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00909,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00910,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00912,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00913,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00915,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00920,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00925,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00927,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00929,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00930,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00932,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00933,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00934,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00935,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00936,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00937,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00938,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00939,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00940,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00941,1e-05,1e-05,1e-05,1e-05,0.99996
