pca,location,count,total_country,percentage
PC0,"Albania",3471,4492,77.27
PC0,"Andorra",3471,4492,77.27
PC0,"Austria",3471,4492,77.27
PC0,"Belarus",3471,4492,77.27
PC0,"Belgium",3471,4492,77.27
PC0,"Bosnia and Herzegovina",3471,4492,77.27
PC0,"Bulgaria",3471,4492,77.27
PC0,"Croatia",3471,4492,77.27
PC0,"Czech Republic",3471,4492,77.27
PC0,"Denmark",3471,4492,77.27
PC0,"Estonia",3471,4492,77.27
PC0,"Finland",3471,4492,77.27
PC0,"France",3471,4492,77.27
PC0,"Germany",3471,4492,77.27
PC0,"Gibraltar",3471,4492,77.27
PC0,"Greece",3471,4492,77.27
PC0,"Holy See",3471,4492,77.27
PC0,"Hungary",3471,4492,77.27
PC0,"Iceland",3471,4492,77.27
PC0,"Ireland",3471,4492,77.27
PC0,"Italy",3471,4492,77.27
PC0,"Kosovo",3471,4492,77.27
PC0,"Latvia",3471,4492,77.27
PC0,"Liechtenstein",3471,4492,77.27
PC0,"Lithuania",3471,4492,77.27
PC0,"Luxembourg",3471,4492,77.27
PC0,"Macedonia",3471,4492,77.27
PC0,"Malta",3471,4492,77.27
PC0,"Moldova",3471,4492,77.27
PC0,"Monaco",3471,4492,77.27
PC0,"Montenegro",3471,4492,77.27
PC0,"Netherlands",3471,4492,77.27
PC0,"Norway",3471,4492,77.27
PC0,"Poland",3471,4492,77.27
PC0,"Portugal",3471,4492,77.27
PC0,"Romania",3471,4492,77.27
PC0,"Russia",3471,4492,77.27
PC0,"San Marino",3471,4492,77.27
PC0,"Slovak Republic",3471,4492,77.27
PC0,"Slovenia",3471,4492,77.27
PC0,"Spain",3471,4492,77.27
PC0,"Serbia",3471,4492,77.27
PC0,"Serbia and Montenegro",3471,4492,77.27
PC0,"Sweden",3471,4492,77.27
PC0,"Switzerland",3471,4492,77.27
PC0,"Ukraine",3471,4492,77.27
PC0,"United Kingdom",3471,4492,77.27
PC1,"Algeria",1238,9111,13.59
PC1,"Angola",1238,9111,13.59
PC1,"Benin",1238,9111,13.59
PC1,"Botswana",1238,9111,13.59
PC1,"Burkina Faso",1238,9111,13.59
PC1,"Burundi",1238,9111,13.59
PC1,"Cameroon",1238,9111,13.59
PC1,"Cape Verde",1238,9111,13.59
PC1,"Central African Republic",1238,9111,13.59
PC1,"Chad",1238,9111,13.59
PC1,"Comoros",1238,9111,13.59
PC1,"Cote d'Ivoire",1238,9111,13.59
PC1,"Democratic Republic of the Congo",1238,9111,13.59
PC1,"Djibouti",1238,9111,13.59
PC1,"Egypt",1238,9111,13.59
PC1,"Equatorial Guinea",1238,9111,13.59
PC1,"Eritrea",1238,9111,13.59
PC1,"Ethiopia",1238,9111,13.59
PC1,"Gabon",1238,9111,13.59
PC1,"Gambia",1238,9111,13.59
PC1,"Ghana",1238,9111,13.59
PC1,"Guinea",1238,9111,13.59
PC1,"Guinea-Bissau",1238,9111,13.59
PC1,"Kenya",1238,9111,13.59
PC1,"Lesotho",1238,9111,13.59
PC1,"Liberia",1238,9111,13.59
PC1,"Libya",1238,9111,13.59
PC1,"Madagascar",1238,9111,13.59
PC1,"Malawi",1238,9111,13.59
PC1,"Mali",1238,9111,13.59
PC1,"Mauritania",1238,9111,13.59
PC1,"Mauritius",1238,9111,13.59
PC1,"Morocco",1238,9111,13.59
PC1,"Mozambique",1238,9111,13.59
PC1,"Namibia",1238,9111,13.59
PC1,"Niger",1238,9111,13.59
PC1,"Nigeria",1238,9111,13.59
PC1,"Republic of the Congo",1238,9111,13.59
PC1,"Reunion",1238,9111,13.59
PC1,"Rwanda",1238,9111,13.59
PC1,"Saint Helena",1238,9111,13.59
PC1,"Sao Tome and Principe",1238,9111,13.59
PC1,"Senegal",1238,9111,13.59
PC1,"Seychelles",1238,9111,13.59
PC1,"Sierra Leone",1238,9111,13.59
PC1,"Somalia",1238,9111,13.59
PC1,"South Africa",1238,9111,13.59
PC1,"South Sudan",1238,9111,13.59
PC1,"Sudan",1238,9111,13.59
PC1,"Swaziland",1238,9111,13.59
PC1,"Tanzania",1238,9111,13.59
PC1,"Togo",1238,9111,13.59
PC1,"Tunisia",1238,9111,13.59
PC1,"Uganda",1238,9111,13.59
PC1,"Western Sahara",1238,9111,13.59
PC1,"Zambia",1238,9111,13.59
PC1,"Zimbabwe",1238,9111,13.59
PC2,"Algeria",7873,9111,86.41
PC2,"Angola",7873,9111,86.41
PC2,"Benin",7873,9111,86.41
PC2,"Botswana",7873,9111,86.41
PC2,"Burkina Faso",7873,9111,86.41
PC2,"Burundi",7873,9111,86.41
PC2,"Cameroon",7873,9111,86.41
PC2,"Cape Verde",7873,9111,86.41
PC2,"Central African Republic",7873,9111,86.41
PC2,"Chad",7873,9111,86.41
PC2,"Comoros",7873,9111,86.41
PC2,"Cote d'Ivoire",7873,9111,86.41
PC2,"Democratic Republic of the Congo",7873,9111,86.41
PC2,"Djibouti",7873,9111,86.41
PC2,"Egypt",7873,9111,86.41
PC2,"Equatorial Guinea",7873,9111,86.41
PC2,"Eritrea",7873,9111,86.41
PC2,"Ethiopia",7873,9111,86.41
PC2,"Gabon",7873,9111,86.41
PC2,"Gambia",7873,9111,86.41
PC2,"Ghana",7873,9111,86.41
PC2,"Guinea",7873,9111,86.41
PC2,"Guinea-Bissau",7873,9111,86.41
PC2,"Kenya",7873,9111,86.41
PC2,"Lesotho",7873,9111,86.41
PC2,"Liberia",7873,9111,86.41
PC2,"Libya",7873,9111,86.41
PC2,"Madagascar",7873,9111,86.41
PC2,"Malawi",7873,9111,86.41
PC2,"Mali",7873,9111,86.41
PC2,"Mauritania",7873,9111,86.41
PC2,"Mauritius",7873,9111,86.41
PC2,"Morocco",7873,9111,86.41
PC2,"Mozambique",7873,9111,86.41
PC2,"Namibia",7873,9111,86.41
PC2,"Niger",7873,9111,86.41
PC2,"Nigeria",7873,9111,86.41
PC2,"Republic of the Congo",7873,9111,86.41
PC2,"Reunion",7873,9111,86.41
PC2,"Rwanda",7873,9111,86.41
PC2,"Saint Helena",7873,9111,86.41
PC2,"Sao Tome and Principe",7873,9111,86.41
PC2,"Senegal",7873,9111,86.41
PC2,"Seychelles",7873,9111,86.41
PC2,"Sierra Leone",7873,9111,86.41
PC2,"Somalia",7873,9111,86.41
PC2,"South Africa",7873,9111,86.41
PC2,"South Sudan",7873,9111,86.41
PC2,"Sudan",7873,9111,86.41
PC2,"Swaziland",7873,9111,86.41
PC2,"Tanzania",7873,9111,86.41
PC2,"Togo",7873,9111,86.41
PC2,"Tunisia",7873,9111,86.41
PC2,"Uganda",7873,9111,86.41
PC2,"Western Sahara",7873,9111,86.41
PC2,"Zambia",7873,9111,86.41
PC2,"Zimbabwe",7873,9111,86.41
PC3,"American Samoa",788,788,100.00
PC3,"Australia",788,788,100.00
PC3,"Christmas Island",788,788,100.00
PC3,"Cocos (Keeling) Islands",788,788,100.00
PC3,"Cook Islands",788,788,100.00
PC3,"Federated States of Micronesia",788,788,100.00
PC3,"Fiji",788,788,100.00
PC3,"French Polynesia",788,788,100.00
PC3,"Guam",788,788,100.00
PC3,"Kiribati",788,788,100.00
PC3,"Marshall Islands",788,788,100.00
PC3,"Nauru",788,788,100.00
PC3,"New Caledonia",788,788,100.00
PC3,"New Zealand",788,788,100.00
PC3,"Niue",788,788,100.00
PC3,"Northern Mariana Islands",788,788,100.00
PC3,"Palau",788,788,100.00
PC3,"Papua New Guinea",788,788,100.00
PC3,"Pitcairn Islands",788,788,100.00
PC3,"Samoa",788,788,100.00
PC3,"Solomon Islands",788,788,100.00
PC3,"Tokelau",788,788,100.00
PC3,"Tonga",788,788,100.00
PC3,"Tuvalu",788,788,100.00
PC3,"Vanuatu",788,788,100.00
PC3,"Wallis and Futuna Islands",788,788,100.00
PC5,"Afghanistan",271,2474,10.95
