IND,0,1,2,3,4,5,6,7,8,9
HG00628,1e-05,1e-05,1e-05,1e-05,1e-05,0.715123,1e-05,1e-05,0.284797,1e-05
HG00631,1e-05,1e-05,1e-05,1e-05,1e-05,0.646502,1.3e-05,1e-05,0.353416,1e-05
HG00632,1e-05,1e-05,1e-05,1e-05,1e-05,0.71102,1e-05,1e-05,0.2889,1e-05
HG00650,1e-05,1e-05,1e-05,1e-05,1e-05,0.861439,1e-05,1e-05,0.138481,1e-05
HG00651,1e-05,1e-05,1e-05,1e-05,1e-05,0.834935,1e-05,1e-05,0.164985,1e-05
HG00653,1e-05,1e-05,1e-05,1e-05,1e-05,0.85872,1e-05,1e-05,0.1412,1e-05
HG00654,1e-05,1e-05,1e-05,1e-05,1e-05,0.798357,1e-05,1e-05,0.201563,1e-05
HG00656,1e-05,1e-05,1e-05,1e-05,1e-05,0.867842,1e-05,1e-05,0.132078,1e-05
HG00657,1e-05,1e-05,1e-05,1e-05,1e-05,0.790115,1e-05,1e-05,0.209805,1e-05
HG00662,1e-05,1e-05,1e-05,1e-05,1e-05,0.835298,1.1e-05,1e-05,0.164621,1e-05
HG00663,1e-05,1e-05,1e-05,1e-05,1e-05,0.836443,1e-05,1e-05,0.163477,1e-05
HG00671,1e-05,1e-05,1e-05,1e-05,1e-05,0.820738,1e-05,1e-05,0.179182,1e-05
HG00672,1e-05,1e-05,1e-05,1e-05,1e-05,0.826462,1.2e-05,1e-05,0.173456,1e-05
HG00674,1e-05,1e-05,1e-05,1e-05,1e-05,0.793409,1e-05,1e-05,0.206511,1e-05
HG00675,1e-05,1e-05,1e-05,1e-05,1e-05,0.819453,1e-05,1e-05,0.180467,1e-05
HG00683,1e-05,1e-05,1e-05,1e-05,0.000117,0.819773,1e-05,1e-05,0.18004,1e-05
HG00684,1e-05,1e-05,1e-05,1e-05,1e-05,0.813136,1e-05,1e-05,0.186783,1e-05
HG00689,1e-05,1e-05,1e-05,1e-05,1e-05,0.81386,1e-05,1e-05,0.18606,1e-05
HG00690,1e-05,1e-05,1e-05,1e-05,1e-05,0.851341,1e-05,1e-05,0.148579,1e-05
HG00692,1e-05,1e-05,1e-05,1e-05,1e-05,0.854887,1e-05,1e-05,0.145033,1e-05
HG00693,1e-05,1e-05,1e-05,1e-05,1.4e-05,0.8203,1e-05,1e-05,0.179616,1e-05
HG00699,1e-05,1e-05,1e-05,1e-05,1e-05,0.761694,1e-05,1e-05,0.238226,1e-05
HG00701,1e-05,1e-05,1e-05,1e-05,1e-05,0.822964,1e-05,1e-05,0.176956,1e-05
HG00704,1e-05,1e-05,1e-05,1e-05,1.1e-05,0.797618,1e-05,1e-05,0.202301,1e-05
HG00705,1e-05,1e-05,1e-05,1e-05,1e-05,0.837138,1e-05,1e-05,0.162782,1e-05
HG00707,1e-05,1e-05,1e-05,1e-05,1e-05,0.846534,1e-05,1e-05,0.153386,1e-05
HG00708,1e-05,1e-05,1e-05,1e-05,1e-05,0.816302,1e-05,1e-05,0.183617,1e-05
HG00717,1e-05,1e-05,1e-05,1e-05,1e-05,0.833142,1e-05,1e-05,0.166778,1e-05
HG00728,1e-05,1e-05,1e-05,1e-05,1e-05,0.795426,1e-05,1e-05,0.204494,1e-05
HG00729,1e-05,1e-05,1e-05,1e-05,1e-05,0.835149,1e-05,1e-05,0.164771,1e-05
HG00759,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00766,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00844,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00851,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00864,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00867,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00879,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00881,1e-05,1e-05,1e-05,2e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05
HG00956,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG00978,1e-05,1e-05,1e-05,0.002529,1e-05,0.997391,1e-05,1e-05,1e-05,1e-05
HG00982,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01028,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01029,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01031,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01046,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01113,1e-05,1e-05,1e-05,1e-05,0.303959,1e-05,1e-05,0.695961,1e-05,1e-05
HG01275,1e-05,1e-05,1e-05,1e-05,0.040727,1e-05,1e-05,0.959193,1e-05,1e-05
HG01341,1e-05,1e-05,1e-05,1e-05,0.592969,1e-05,1e-05,0.406951,1e-05,1e-05
HG01437,1e-05,1e-05,1e-05,1e-05,0.121149,1e-05,1e-05,0.878771,1e-05,1e-05
HG01491,1e-05,1e-05,1e-05,1e-05,0.155781,1e-05,1e-05,0.842994,1e-05,0.001156
HG01503,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01504,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01506,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01507,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01518,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01521,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01524,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01565,1e-05,1e-05,1e-05,1e-05,0.700452,1e-05,1e-05,0.299468,1e-05,1e-05
HG01566,1e-05,1e-05,1e-05,1e-05,0.48201,1e-05,1e-05,0.51791,1e-05,1e-05
