Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,assignment
A-080747-2,,,,,,,,,,,,,0.109635,0.712853,1e-05,0.080459,0.001234,0.095809,1
A-080828-0,,,,,,,,,,,,,0.636542,0.091577,0.012866,0.215956,1e-05,0.043049,0
A-080846-2,,,,,,,,,,,,,0.121623,0.630095,1e-05,0.148497,1e-05,0.099766,1
A-081278-6,,,,,,,,,,,,,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,2
A-081386-7,,,,,,,,,,,,,0.168003,0.680916,1e-05,0.068405,0.001177,0.081489,1
A-081548-3,,,,,,,,,,,,,0.162494,0.660851,0.002356,0.085113,0.000292,0.088894,1
A-081791-8,,,,,,,,,,,,,0.199635,0.644013,0.00227,0.06586,0.002725,0.085497,1
A-081818-0,,,,,,,,,,,,,1e-05,1e-05,0.444644,1e-05,1e-05,0.555316,5
A-081926-1,,,,,,,,,,,,,0.132772,0.703007,1e-05,0.070069,0.001449,0.092693,1
A-081944-3,,,,,,,,,,,,,0.277225,0.564355,0.012008,0.068686,0.009097,0.068629,1
A-082475-7,,,,,,,,,,,,,0.171551,0.651282,0.001786,0.064757,0.011685,0.098938,1
A-082556-5,,,,,,,,,,,,,0.384098,0.506881,1e-05,0.03926,0.000627,0.069124,1
A-082718-1,,,,,,,,,,,,,0.254404,0.635813,1e-05,0.033354,0.000282,0.076137,1
A-082754-5,,,,,,,,,,,,,0.781449,1e-05,7.1e-05,0.177013,1e-05,0.041447,0
A-082781-8,,,,,,,,,,,,,0.598263,0.23298,1e-05,0.102583,1e-05,0.066154,0
A-082907-0,,,,,,,,,,,,,0.328103,0.56406,1e-05,0.027215,5.6e-05,0.080557,1
A-083483-9,,,,,,,,,,,,,0.23764,0.618202,1e-05,0.055251,0.001698,0.087198,1
A-083546-5,,,,,,,,,,,,,0.439305,0.463311,0.011103,0.024443,0.012124,0.049715,1
A-083672-8,,,,,,,,,,,,,0.579173,0.096305,0.020189,0.249924,0.000432,0.053976,0
A-083753-6,,,,,,,,,,,,,0.257063,0.646789,0.008499,1e-05,1e-05,0.087629,1
A-083762-7,,,,,,,,,,,,,0.026434,0.141856,1e-05,0.007122,0.476743,0.347835,4
A-083780-9,,,,,,,,,,,,,0.225647,0.526207,1e-05,0.170797,1e-05,0.077329,1
A-083807-1,,,,,,,,,,,,,0.313911,0.528445,0.00161,0.073781,1e-05,0.082243,1
A-083843-5,,,,,,,,,,,,,0.689711,0.085979,0.006961,0.183982,1e-05,0.033357,0
A-084167-8,,,,,,,,,,,,,0.796549,0.022187,1e-05,0.118838,1e-05,0.062406,0
A-084176-9,,,,,,,,,,,,,1e-05,0.067522,0.00787,0.027414,0.513083,0.384102,4
A-084392-1,,,,,,,,,,,,,0.447415,0.480637,0.003543,0.003603,1e-05,0.064791,1
A-084761-8,,,,,,,,,,,,,0.435062,0.32338,1e-05,0.169558,0.000159,0.071832,0
A-084950-7,,,,,,,,,,,,,0.182573,0.664476,1e-05,0.071336,0.000668,0.080938,1
A-085436-6,,,,,,,,,,,,,0.131006,0.712274,1e-05,0.074422,0.000401,0.081887,1
A-085490-2,,,,,,,,,,,,,0.119009,0.556399,1e-05,0.244725,1e-05,0.079847,1
A-085517-4,,,,,,,,,,,,,0.309623,0.481104,1e-05,0.137967,1e-05,0.071285,1
A-085850-8,,,,,,,,,,,,,0.150512,0.706863,1e-05,0.051107,0.001115,0.090393,1
A-086183-2,,,,,,,,,,,,,1e-05,0.000288,0.000724,0.925188,0.001217,0.072573,3
A-086327-6,,,,,,,,,,,,,0.511453,0.01318,0.04657,0.363491,8e-05,0.065227,0
A-086426-6,,,,,,,,,,,,,0.39649,0.429477,1e-05,0.100217,1e-05,0.073795,1
A-086453-9,,,,,,,,,,,,,0.376812,0.511458,0.002587,0.038529,0.001239,0.069375,1
A-086570-1,,,,,,,,,,,,,0.159103,0.628468,1e-05,0.128311,1e-05,0.084099,1
A-086642-8,,,,,,,,,,,,,0.145822,0.574701,1e-05,0.209797,0.000278,0.069392,1
A-086831-7,,,,,,,,,,,,,0.167004,0.659483,0.006301,0.084384,0.003019,0.079809,1
A-087092-4,,,,,,,,,,,,,0.128542,0.607453,0.001729,0.199066,0.000468,0.062741,1
A-087146-9,,,,,,,,,,,,,0.124029,0.727562,1e-05,0.052528,1e-05,0.095861,1
A-087533-8,,,,,,,,,,,,,0.136091,0.674477,1e-05,0.091939,0.00296,0.094522,1
A-087641-9,,,,,,,,,,,,,0.094454,0.724443,1e-05,0.094987,1e-05,0.086096,1
A-088046-0,,,,,,,,,,,,,0.075949,0.768442,1e-05,0.043048,1e-05,0.112541,1
A-088082-4,,,,,,,,,,,,,0.234601,0.606923,1e-05,0.069059,0.003096,0.086311,1
A-088181-4,,,,,,,,,,,,,0.088173,0.3011,0.153276,0.16385,0.006921,0.28668,1
A-088226-8,,,,,,,,,,,,,1e-05,0.023237,0.010011,1e-05,0.572382,0.39435,4
A-088352-1,,,,,,,,,,,,,0.269062,0.497814,1e-05,0.161111,0.000812,0.07119,1
A-088433-9,,,,,,,,,,,,,0.221112,0.618569,1e-05,0.080875,0.000135,0.079299,1
A-088442-0,,,,,,,,,,,,,0.727383,0.160868,0.061441,1e-05,1e-05,0.050288,0
A-089072-4,,,,,,,,,,,,,0.086557,0.693847,1e-05,0.127024,1e-05,0.092553,1
A-089180-5,,,,,,,,,,,,,0.234933,0.596544,1e-05,0.086711,1e-05,0.081792,1
A-089315-8,,,,,,,,,,,,,0.297009,0.554467,1e-05,0.069554,1e-05,0.078951,1
A-089405-7,,,,,,,,,,,,,0.384337,0.482872,0.001001,0.075687,0.00067,0.055433,1
A-089504-7,,,,,,,,,,,,,0.370392,0.500908,1e-05,0.062486,1e-05,0.066193,1
A-089621-9,,,,,,,,,,,,,0.240725,0.648517,0.005615,0.016289,0.001826,0.087027,1
A-090188-6,,,,,,,,,,,,,0.12695,0.716393,0.002132,0.062381,0.000116,0.092027,1
A-090638-1,,,,,,,,,,,,,0.146903,0.611227,0.000529,0.155686,1e-05,0.085645,1
A-090746-2,,,,,,,,,,,,,0.229411,0.525404,1e-05,0.16184,0.00084,0.082495,1
A-090755-3,,,,,,,,,,,,,0.189503,0.665769,1e-05,0.049362,1e-05,0.095346,1
A-090962-4,,,,,,,,,,,,,0.228589,0.633062,1e-05,0.056419,0.000626,0.081293,1
A-091178-6,,,,,,,,,,,,,0.561525,0.290441,1e-05,0.088832,1.1e-05,0.05918,0
A-091385-7,,,,,,,,,,,,,0.104905,0.638443,1e-05,0.169181,0.007516,0.079946,1
A-091745-3,,,,,,,,,,,,,0.114931,0.724938,1e-05,0.060822,1e-05,0.099289,1
A-092348-4,,,,,,,,,,,,,0.390418,0.453626,1e-05,0.088979,1e-05,0.066957,1
A-092393-9,,,,,,,,,,,,,0.031647,1e-05,0.00594,0.905296,0.000396,0.056711,3
A-092528-2,,,,,,,,,,,,,0.390186,0.411345,1e-05,0.124477,0.000685,0.073298,1
A-092663-6,,,,,,,,,,,,,0.323632,0.556128,1e-05,0.050716,1e-05,0.069504,1
A-093257-6,,,,,,,,,,,,,0.136622,0.672665,1e-05,0.096707,0.004062,0.089934,1
A-093266-7,,,,,,,,,,,,,0.808228,1e-05,0.012242,0.149684,1e-05,0.029825,0
A-093356-6,,,,,,,,,,,,,0.141259,0.74725,1e-05,0.023358,1e-05,0.088113,1
A-093509-1,,,,,,,,,,,,,0.160212,0.670854,0.000312,0.084086,0.000581,0.083954,1
A-093725-3,,,,,,,,,,,,,1e-05,1e-05,0.004732,0.922361,0.000877,0.072011,3
A-093761-7,,,,,,,,,,,,,0.166221,0.667752,1e-05,0.083293,0.000214,0.08251,1
A-093824-3,,,,,,,,,,,,,0.329036,0.536205,1e-05,0.062525,0.000338,0.071886,1
A-093842-5,,,,,,,,,,,,,0.091249,0.593941,1e-05,0.234921,1e-05,0.079869,1
A-093905-1,,,,,,,,,,,,,0.260572,0.546514,1e-05,0.120475,0.000223,0.072206,1
A-093941-5,,,,,,,,,,,,,0.181757,0.661006,1e-05,0.061589,1e-05,0.095628,1
A-094049-6,,,,,,,,,,,,,0.484573,0.435377,0.008346,1e-05,1e-05,0.071684,0
A-094058-7,,,,,,,,,,,,,0.307265,0.618353,0.001671,1e-05,1e-05,0.072691,1
A-094139-5,,,,,,,,,,,,,0.265277,0.633139,0.003902,0.007515,9.2e-05,0.090076,1
A-094184-0,,,,,,,,,,,,,0.143562,0.652154,1e-05,0.095314,0.009134,0.099826,1
A-094292-1,,,,,,,,,,,,,0.261118,0.661106,0.007401,1e-05,1e-05,0.070355,1
A-094670-9,,,,,,,,,,,,,0.669327,0.100469,0.001727,0.18028,1e-05,0.048186,0
A-095048-7,,,,,,,,,,,,,0.825333,1e-05,1e-05,0.130521,1e-05,0.044116,0
A-095066-9,,,,,,,,,,,,,0.019822,0.86468,1e-05,0.010633,1e-05,0.104845,1
A-095228-5,,,,,,,,,,,,,0.245201,0.620913,1e-05,0.05008,1e-05,0.083786,1
A-095363-9,,,,,,,,,,,,,0.152648,0.677564,0.000285,0.08801,0.000483,0.08101,1
A-095444-7,,,,,,,,,,,,,0.251822,0.577561,1e-05,0.083866,1e-05,0.086731,1
A-095453-8,,,,,,,,,,,,,0.115813,0.737072,1e-05,0.062383,1e-05,0.084711,1
A-095543-7,,,,,,,,,,,,,1e-05,1e-05,1e-05,1e-05,0.61621,0.38375,4
A-095606-3,,,,,,,,,,,,,0.033055,0.248877,1e-05,0.642301,0.001995,0.073762,3
A-095714-4,,,,,,,,,,,,,0.073962,0.775396,1e-05,0.06773,1e-05,0.082892,1
A-095723-5,,,,,,,,,,,,,0.068117,0.364595,0.006997,0.485217,0.001103,0.073972,3
A-096209-4,,,,,,,,,,,,,0.241363,0.556816,1e-05,0.131206,0.001571,0.069033,1
A-096281-2,,,,,,,,,,,,,0.119678,0.726607,1e-05,0.065178,1e-05,0.088517,1
A-096371-1,,,,,,,,,,,,,0.383806,0.500772,1e-05,0.018735,1e-05,0.096668,1
A-097136-8,,,,,,,,,,,,,1e-05,0.025739,1e-05,1e-05,0.568744,0.405487,4
A-097217-6,,,,,,,,,,,,,0.097044,0.71308,1e-05,0.098218,0.000218,0.09143,1
A-097235-8,,,,,,,,,,,,,0.182331,0.55929,1e-05,0.172023,0.004382,0.081964,1
A-097325-7,,,,,,,,,,,,,0.212695,0.635838,1e-05,0.073351,0.000601,0.077504,1
A-097334-8,,,,,,,,,,,,,0.809766,1e-05,1e-05,0.153696,0.001124,0.035394,0
A-097406-5,,,,,,,,,,,,,0.114558,0.714923,0.002893,0.079819,0.004357,0.083451,1
A-097433-8,,,,,,,,,,,,,1e-05,1e-05,0.001525,0.902177,0.010302,0.085976,3
A-097451-0,,,,,,,,,,,,,0.130314,0.718576,4e-05,0.058918,0.001498,0.090654,1
A-097505-5,,,,,,,,,,,,,0.381817,0.396165,0.011556,0.161755,0.000252,0.048455,1
A-097811-6,,,,,,,,,,,,,0.180632,0.667221,0.004204,0.049525,0.000652,0.097766,1
A-098027-8,,,,,,,,,,,,,0.37952,0.548347,0.006158,1e-05,0.000585,0.065381,1
A-098162-2,,,,,,,,,,,,,0.135689,0.610441,1e-05,0.154494,0.004019,0.095346,1
A-098225-8,,,,,,,,,,,,,0.12714,0.690531,1e-05,0.079768,0.000622,0.101929,1
A-098405-6,,,,,,,,,,,,,0.119084,0.507319,0.001603,0.301308,1e-05,0.070675,1
A-098720-8,,,,,,,,,,,,,0.388777,0.526066,0.006632,0.005938,0.000153,0.072434,1
A-098900-6,,,,,,,,,,,,,0.112016,0.61194,1e-05,0.200567,1e-05,0.075457,1
A-099008-7,,,,,,,,,,,,,0.102716,0.763873,1e-05,0.025684,1e-05,0.107706,1
A-099017-8,,,,,,,,,,,,,0.202889,0.616308,1e-05,0.096337,1e-05,0.084447,1
A-099134-0,,,,,,,,,,,,,0.510055,0.323744,1e-05,0.114987,1e-05,0.051195,0
A-099215-8,,,,,,,,,,,,,0.101398,0.731615,1e-05,0.077421,1e-05,0.089546,1
A-099440-1,,,,,,,,,,,,,0.111618,0.774905,1e-05,0.030552,0.000631,0.082284,1
A-099602-7,,,,,,,,,,,,,0.136167,0.626987,1e-05,0.16284,0.000974,0.073022,1
A-099620-9,,,,,,,,,,,,,0.098811,0.787672,1e-05,0.018826,1e-05,0.094671,1
A-101897-9,,,,,,,,,,,,,0.200421,0.637582,1e-05,0.07784,1e-05,0.084137,1
A-101978-7,,,,,,,,,,,,,0.344462,0.328478,0.011487,0.261991,1e-05,0.053573,0
A-102977-8,,,,,,,,,,,,,0.391096,0.416508,1e-05,0.123496,5.6e-05,0.068833,1
A-103598-1,,,,,,,,,,,,,0.143369,0.737339,1e-05,0.020259,0.00106,0.097963,1
A-103778-9,,,,,,,,,,,,,0.134567,0.644924,1e-05,0.132774,1e-05,0.087714,1
A-103994-1,,,,,,,,,,,,,0.66104,0.083999,0.004283,0.199869,0.000229,0.050581,0
A-104489-1,,,,,,,,,,,,,0.155229,0.704285,0.001389,0.052403,1e-05,0.086683,1
A-104669-9,,,,,,,,,,,,,0.134357,0.694102,1e-05,0.082193,0.000428,0.08891,1
A-104696-2,,,,,,,,,,,,,0.308377,0.447077,1e-05,0.174535,1e-05,0.069992,1
A-104849-7,,,,,,,,,,,,,0.4221,0.416647,1e-05,0.093466,1e-05,0.067766,0
A-104984-1,,,,,,,,,,,,,0.22197,0.645814,0.001916,0.046898,1e-05,0.083392,1
A-105677-1,,,,,,,,,,,,,0.381751,0.474159,1e-05,0.076583,1e-05,0.067486,1
A-105785-2,,,,,,,,,,,,,0.244734,0.655743,0.005558,0.004691,1e-05,0.089264,1
A-105848-8,,,,,,,,,,,,,0.068242,0.177301,0.250659,0.098468,0.018723,0.386607,5
A-106595-4,,,,,,,,,,,,,0.157771,0.61414,1e-05,0.155306,0.001358,0.071415,1
A-106874-2,,,,,,,,,,,,,0.521972,0.34652,0.012895,0.055309,0.000224,0.06308,0
A-106946-9,,,,,,,,,,,,,0.208578,0.710378,0.003191,1e-05,0.000759,0.077084,1
A-106982-3,,,,,,,,,,,,,0.168405,0.581531,1e-05,0.166506,0.000145,0.083403,1
A-107189-4,,,,,,,,,,,,,0.183405,0.581273,1e-05,0.14648,5.7e-05,0.088774,1
A-107288-4,,,,,,,,,,,,,0.131061,0.69917,1e-05,0.062052,0.001457,0.106251,1
A-107765-2,,,,,,,,,,,,,0.503183,0.27661,0.009438,0.153451,1e-05,0.057308,0
A-107855-1,,,,,,,,,,,,,0.261449,0.511586,0.002296,0.141111,1e-05,0.083546,1
A-107873-3,,,,,,,,,,,,,0.234902,0.567793,0.00137,0.116587,0.000981,0.078367,1
A-107891-5,,,,,,,,,,,,,0.224579,0.54241,1e-05,0.166165,0.000357,0.066479,1
A-108098-6,,,,,,,,,,,,,0.143981,0.713641,0.00209,0.051534,0.001219,0.087535,1
A-108296-6,,,,,,,,,,,,,0.459497,0.398511,0.015806,0.052563,0.000132,0.073491,0
A-108386-5,,,,,,,,,,,,,0.158229,0.68943,0.001331,0.059471,0.001044,0.090495,1
A-108566-3,,,,,,,,,,,,,0.174266,0.670368,1e-05,0.070821,0.00094,0.083596,1
A-108746-1,,,,,,,,,,,,,0.131494,0.70005,0.008005,0.055346,0.009536,0.09557,1
A-108890-6,,,,,,,,,,,,,0.151522,0.709073,1e-05,0.044207,0.000784,0.094405,1
A-109079-5,,,,,,,,,,,,,0.057769,0.766029,1e-05,0.088723,1e-05,0.087459,1
A-109169-4,,,,,,,,,,,,,0.291192,0.516576,1e-05,0.116152,0.001584,0.074485,1
A-109196-7,,,,,,,,,,,,,0.865635,1e-05,1e-05,0.088772,1e-05,0.045563,0
A-109349-2,,,,,,,,,,,,,0.011307,0.188909,0.003369,0.014942,0.448869,0.332604,4
A-109358-3,,,,,,,,,,,,,0.256708,0.657903,0.002362,1e-05,1e-05,0.083007,1
A-109457-3,,,,,,,,,,,,,0.053435,0.039646,1e-05,0.852383,1e-05,0.054517,3
A-109538-1,,,,,,,,,,,,,1e-05,1e-05,0.010327,0.930112,0.002587,0.056955,3
A-109637-1,,,,,,,,,,,,,0.144634,0.608353,1e-05,0.167045,1e-05,0.079949,1
A-109871-5,,,,,,,,,,,,,0.169087,0.639868,1e-05,0.094917,1e-05,0.096108,1
A-111896-9,,,,,,,,,,,,,0.271082,0.594633,1e-05,0.050139,1e-05,0.084126,1
A-112589-9,,,,,,,,,,,,,0.3557,0.519227,1e-05,0.068753,1e-05,0.0563,1
A-112778-8,,,,,,,,,,,,,0.018772,0.097036,1e-05,0.021345,0.49805,0.364788,4
A-113939-5,,,,,,,,,,,,,0.22723,0.624195,0.000513,0.063687,1e-05,0.084365,1
A-114398-2,,,,,,,,,,,,,0.119104,0.790641,0.000878,1e-05,1e-05,0.089358,1
A-114497-2,,,,,,,,,,,,,0.114404,0.676351,1e-05,0.132907,1e-05,0.076319,1
A-114587-1,,,,,,,,,,,,,0.396628,0.491289,0.022418,1e-05,0.000273,0.089382,1
A-114659-8,,,,,,,,,,,,,0.16898,0.683091,1e-05,0.055086,1e-05,0.092823,1
A-114848-7,,,,,,,,,,,,,0.008459,0.013714,0.007352,0.008444,0.571162,0.390868,4
A-115487-2,,,,,,,,,,,,,0.137584,0.622472,1e-05,0.152139,1e-05,0.087784,1
A-115919-5,,,,,,,,,,,,,0.135753,0.692767,1e-05,0.075936,1e-05,0.095523,1
A-115937-7,,,,,,,,,,,,,0.522109,0.311731,1e-05,0.104002,0.000731,0.061417,0
A-116378-2,,,,,,,,,,,,,0.168601,0.701021,0.001786,0.02695,0.008557,0.093086,1
A-116477-2,,,,,,,,,,,,,0.029926,0.124289,0.005378,0.033963,0.458515,0.347929,4
A-116729-7,,,,,,,,,,,,,0.034313,0.86783,1e-05,6.9e-05,1e-05,0.097768,1
A-116819-6,,,,,,,,,,,,,0.172585,0.643096,1e-05,0.102824,0.00096,0.080526,1
A-116846-9,,,,,,,,,,,,,0.08874,0.722601,1e-05,0.104782,0.000295,0.083572,1
A-116855-0,,,,,,,,,,,,,0.073233,0.778129,0.001498,0.070436,1e-05,0.076693,1
A-116891-4,,,,,,,,,,,,,0.222062,0.59532,1e-05,0.092797,0.0042,0.085609,1
A-116927-7,,,,,,,,,,,,,1e-05,0.215042,1e-05,0.182552,0.341786,0.260601,4
A-116972-2,,,,,,,,,,,,,0.606177,0.302782,0.034508,1e-05,1e-05,0.056513,0
A-117179-3,,,,,,,,,,,,,0.097543,0.746891,1e-05,0.068959,0.000342,0.086255,1
A-117278-3,,,,,,,,,,,,,0.335045,0.585192,0.002632,1e-05,1e-05,0.07711,1
A-117377-3,,,,,,,,,,,,,0.239655,0.530911,1e-05,0.161854,1e-05,0.06756,1
A-117683-4,,,,,,,,,,,,,0.620996,0.276526,1e-05,0.044707,1e-05,0.057752,0
A-117935-9,,,,,,,,,,,,,0.161755,0.692347,0.000455,0.065543,1e-05,0.07989,1
A-118088-5,,,,,,,,,,,,,0.148409,0.714143,0.001616,0.040511,0.001499,0.093822,1
A-118466-3,,,,,,,,,,,,,0.219081,0.677529,1e-05,0.019646,1e-05,0.083724,1
A-118493-6,,,,,,,,,,,,,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,2
A-118529-9,,,,,,,,,,,,,1e-05,0.049058,1e-05,1e-05,0.561916,0.388996,4
A-118538-0,,,,,,,,,,,,,0.093863,0.743868,1e-05,0.06497,0.001824,0.095464,1
A-118556-2,,,,,,,,,,,,,0.065207,0.128999,1e-05,0.714595,0.004541,0.086647,3
A-118664-3,,,,,,,,,,,,,0.099866,0.72607,1e-05,0.082377,1e-05,0.091667,1
A-118718-8,,,,,,,,,,,,,1e-05,0.860721,1e-05,0.033621,1e-05,0.105629,1
A-118934-0,,,,,,,,,,,,,0.127818,0.708893,0.005299,0.080009,1e-05,0.077971,1
A-119159-3,,,,,,,,,,,,,0.153455,0.675782,0.000792,0.084866,0.001466,0.083639,1
A-119384-6,,,,,,,,,,,,,1e-05,1e-05,0.878838,0.042096,1e-05,0.079036,2
A-119519-9,,,,,,,,,,,,,0.525012,0.271195,0.001606,0.157523,1e-05,0.044654,0
A-119537-1,,,,,,,,,,,,,0.034415,0.13826,1e-05,0.02028,0.469995,0.33704,4
A-119816-9,,,,,,,,,,,,,0.356584,0.479529,0.002773,0.091863,0.000793,0.068459,1
A-119861-4,,,,,,,,,,,,,0.286615,0.538234,0.003076,0.109676,0.001807,0.060592,1
A-119924-0,,,,,,,,,,,,,0.246716,0.573083,1e-05,0.109142,1e-05,0.071039,1
A-120995-8,,,,,,,,,,,,,0.386897,0.465674,1e-05,0.076592,0.000375,0.070452,1
A-121499-9,,,,,,,,,,,,,0.303176,0.432302,1e-05,0.186209,0.000844,0.077458,1
A-121868-6,,,,,,,,,,,,,0.293935,0.59121,0.003149,0.021726,1e-05,0.089971,1
A-121886-8,,,,,,,,,,,,,0.154911,0.631332,1e-05,0.116879,0.001175,0.095695,1
A-122849-5,,,,,,,,,,,,,0.149898,0.688852,1e-05,0.076037,0.000929,0.084274,1
A-122966-7,,,,,,,,,,,,,0.197807,0.649548,1e-05,0.059463,0.001719,0.091454,1
A-122993-0,,,,,,,,,,,,,0.174485,0.637956,1e-05,0.095869,0.000866,0.090813,1
A-123749-6,,,,,,,,,,,,,0.106091,0.734208,1e-05,0.080723,1e-05,0.078957,1
A-124739-6,,,,,,,,,,,,,0.090359,0.687575,1e-05,0.119919,1e-05,0.102127,1
A-124784-1,,,,,,,,,,,,,0.304735,0.557195,1e-05,0.061232,0.000656,0.076172,1
A-124829-5,,,,,,,,,,,,,0.157955,0.540186,1e-05,0.221849,2.7e-05,0.079972,1
A-124928-5,,,,,,,,,,,,,0.561731,0.254077,1e-05,0.125791,1e-05,0.058381,0
A-124955-8,,,,,,,,,,,,,0.138431,0.715244,1e-05,0.060359,6e-05,0.085896,1
A-125387-2,,,,,,,,,,,,,0.432441,0.442582,1e-05,0.057044,1e-05,0.067914,1
A-125486-2,,,,,,,,,,,,,0.10758,0.692858,0.001115,0.086528,0.009143,0.102776,1
A-125657-9,,,,,,,,,,,,,0.169831,0.674382,0.004774,0.058991,7.6e-05,0.091946,1
A-125675-1,,,,,,,,,,,,,0.604319,0.314478,0.00711,0.020004,1e-05,0.05408,0
A-125693-3,,,,,,,,,,,,,0.359294,0.337031,0.000871,0.226766,0.00886,0.067178,0
A-125756-9,,,,,,,,,,,,,1e-05,1e-05,1e-05,1e-05,0.613393,0.386567,4
A-125972-1,,,,,,,,,,,,,0.046371,0.834267,1e-05,0.019913,0.000379,0.09906,1
A-126188-3,,,,,,,,,,,,,1e-05,0.06069,1e-05,0.014556,0.542458,0.382276,4
A-126926-7,,,,,,,,,,,,,0.125537,0.700807,1e-05,0.076681,0.004266,0.092698,1
A-127538-9,,,,,,,,,,,,,0.210677,0.622542,0.002103,0.06239,0.000672,0.101616,1
A-127754-1,,,,,,,,,,,,,0.857572,1e-05,0.000758,0.091159,1e-05,0.050492,0
A-127844-0,,,,,,,,,,,,,0.129386,0.702591,0.003369,0.074073,0.005869,0.084712,1
A-127907-6,,,,,,,,,,,,,0.528991,0.291878,0.004201,0.108218,1e-05,0.066703,0
A-127970-3,,,,,,,,,,,,,0.183639,0.683337,1e-05,0.039431,1e-05,0.093574,1
A-128096-6,,,,,,,,,,,,,0.607622,0.167513,1e-05,0.155657,0.000473,0.068725,0
A-128258-2,,,,,,,,,,,,,0.138929,0.700325,1e-05,0.064946,1e-05,0.09578,1
A-128375-4,,,,,,,,,,,,,0.40787,0.416461,1e-05,0.114476,1e-05,0.061174,1
A-128429-9,,,,,,,,,,,,,0.205191,0.625746,0.001167,0.071942,1e-05,0.095944,1
A-128483-5,,,,,,,,,,,,,0.198119,0.620683,1e-05,0.096919,0.000352,0.083916,1
A-128636-0,,,,,,,,,,,,,0.73033,1e-05,0.011125,0.203673,1e-05,0.054852,0
A-128708-7,,,,,,,,,,,,,0.150918,0.696567,1e-05,0.063767,0.002186,0.086552,1
A-128735-0,,,,,,,,,,,,,0.098107,0.685396,0.001546,0.123202,1e-05,0.091739,1
A-128771-4,,,,,,,,,,,,,0.145326,0.6474,1e-05,0.128916,1e-05,0.078339,1
A-128807-7,,,,,,,,,,,,,0.245657,0.515475,0.001447,0.16553,0.000198,0.071692,1
A-128852-2,,,,,,,,,,,,,0.377305,0.540272,0.005498,1e-05,0.000894,0.076021,1
A-128870-4,,,,,,,,,,,,,0.834177,0.025718,0.001839,0.084842,1e-05,0.053415,0
A-128951-2,,,,,,,,,,,,,0.167127,0.667327,0.000465,0.07514,1e-05,0.089931,1
A-129077-5,,,,,,,,,,,,,0.32233,0.510162,0.005099,0.086541,1e-05,0.075858,1
A-129329-0,,,,,,,,,,,,,0.218315,0.610109,0.001556,0.094815,1e-05,0.075195,1
A-129365-4,,,,,,,,,,,,,0.115231,0.72597,1e-05,0.063476,1e-05,0.095303,1
A-129419-9,,,,,,,,,,,,,0.146891,0.719963,0.001166,0.04561,0.00209,0.08428,1
A-129464-4,,,,,,,,,,,,,0.243604,0.588502,1e-05,0.088547,0.001291,0.078046,1
A-129518-9,,,,,,,,,,,,,0.101851,0.68321,0.001162,0.099011,0.0143,0.100466,1
A-129527-0,,,,,,,,,,,,,0.111356,0.722359,1e-05,0.075934,1e-05,0.090332,1
A-129617-9,,,,,,,,,,,,,0.239465,0.622198,0.006902,0.054495,1e-05,0.07693,1
A-129662-4,,,,,,,,,,,,,0.220394,0.6407,1e-05,0.044574,1e-05,0.094312,1
A-129815-9,,,,,,,,,,,,,0.230576,0.607868,0.00101,0.078783,5.8e-05,0.081705,1
A-129824-0,,,,,,,,,,,,,0.107381,0.678755,0.001958,0.131596,0.000676,0.079635,1
A-129851-3,,,,,,,,,,,,,0.30055,0.568389,0.003217,0.057998,1e-05,0.069836,1
A-130589-7,,,,,,,,,,,,,1e-05,1e-05,0.999943,1e-05,1.7e-05,1e-05,2
A-130958-4,,,,,,,,,,,,,0.115328,0.745846,1e-05,0.052181,0.001127,0.085508,1
A-131399-9,,,,,,,,,,,,,0.617296,0.091431,0.009911,0.218668,1e-05,0.062684,0
A-131597-9,,,,,,,,,,,,,0.144088,0.712113,1e-05,0.051527,0.000542,0.09172,1
A-131669-6,,,,,,,,,,,,,0.166761,0.649143,1e-05,0.092183,1e-05,0.091893,1
A-131678-7,,,,,,,,,,,,,0.250626,0.619093,1e-05,0.050496,1e-05,0.079765,1
A-131696-9,,,,,,,,,,,,,0.215963,0.595444,1e-05,0.100991,0.000182,0.087411,1
A-131885-8,,,,,,,,,,,,,0.85709,0.008264,1e-05,0.096818,1e-05,0.037808,0
A-131939-3,,,,,,,,,,,,,0.125225,0.653558,0.00026,0.134332,0.000601,0.086025,1
A-132668-7,,,,,,,,,,,,,0.853404,1e-05,1e-05,0.100611,1e-05,0.045956,0
A-132686-9,,,,,,,,,,,,,0.152868,0.661628,1e-05,0.079106,1e-05,0.106379,1
A-132785-9,,,,,,,,,,,,,0.366523,0.492277,1e-05,0.069716,1e-05,0.071464,1
A-132875-8,,,,,,,,,,,,,0.117649,0.620351,0.001015,0.172562,0.000893,0.087529,1
A-132893-0,,,,,,,,,,,,,0.168448,0.52176,1e-05,0.225164,1e-05,0.084608,1
A-132965-7,,,,,,,,,,,,,0.384699,0.518246,0.012918,0.000467,0.000818,0.082853,1
A-133199-1,,,,,,,,,,,,,0.130706,0.619684,1e-05,0.173583,0.000894,0.075122,1
A-133298-1,,,,,,,,,,,,,0.118111,0.726653,1e-05,0.055055,0.001609,0.098561,1
A-133784-0,,,,,,,,,,,,,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,2
