Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,assignment
HG00128,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),LP6005442-DNA_F10,England,Kent,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00129,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1.3e-05,1e-05,1e-05,0.999947,5
HG00130,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00131,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00132,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00133,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00136,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00137,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00138,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00139,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00140,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1.4e-05,1e-05,1e-05,0.999946,5
HG00141,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1.2e-05,1e-05,1e-05,0.999948,5
HG00142,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1.1e-05,1e-05,1e-05,0.999949,5
HG00143,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00145,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00146,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00148,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00149,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00150,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00151,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00154,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00155,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,0.003269,0.996691,5
HG00157,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00158,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00159,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00160,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00171,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.055895,1e-05,1e-05,1e-05,0.019195,0.92488,5
HG00173,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.037374,1e-05,1e-05,1e-05,0.025052,0.937544,5
HG00174,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_D10,Finland,,1.0,0.018111,1e-05,1e-05,1e-05,0.019606,0.962253,5
HG00176,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.042957,1e-05,1e-05,1e-05,0.025155,0.931858,5
HG00177,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.056795,1e-05,1e-05,1e-05,0.026029,0.917147,5
HG00178,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041062,1e-05,1e-05,1e-05,0.009889,0.949019,5
HG00179,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.05422,1e-05,1e-05,1e-05,0.024301,0.921449,5
HG00180,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.047048,1e-05,1e-05,1e-05,0.020276,0.932646,5
