pca,location,count,total_country,percentage
PC0,"Afghanistan",2457,14991,16.39
PC0,"Armenia",2457,14991,16.39
PC0,"Azerbaijan",2457,14991,16.39
PC0,"Bahrain",2457,14991,16.39
PC0,"Bangladesh",2457,14991,16.39
PC0,"Bhutan",2457,14991,16.39
PC0,"Brunei",2457,14991,16.39
PC0,"Burma",2457,14991,16.39
PC0,"Cambodia",2457,14991,16.39
PC0,"China",2457,14991,16.39
PC0,"Cyprus",2457,14991,16.39
PC0,"East Timor",2457,14991,16.39
PC0,"Georgia",2457,14991,16.39
PC0,"Hong Kong",2457,14991,16.39
PC0,"India",2457,14991,16.39
PC0,"Indonesia",2457,14991,16.39
PC0,"Iran",2457,14991,16.39
PC0,"Iraq",2457,14991,16.39
PC0,"Israel",2457,14991,16.39
PC0,"Japan",2457,14991,16.39
PC0,"Jordan",2457,14991,16.39
PC0,"Kazakhstan",2457,14991,16.39
PC0,"Kuwait",2457,14991,16.39
PC0,"Kyrgyzstan",2457,14991,16.39
PC0,"Laos",2457,14991,16.39
PC0,"Lebanon",2457,14991,16.39
PC0,"Macau",2457,14991,16.39
PC0,"Malaysia",2457,14991,16.39
PC0,"Maldives",2457,14991,16.39
PC0,"Mongolia",2457,14991,16.39
PC0,"Nepal",2457,14991,16.39
PC0,"North Korea",2457,14991,16.39
PC0,"Oman",2457,14991,16.39
PC0,"Pakistan",2457,14991,16.39
PC0,"Philippines",2457,14991,16.39
PC0,"Qatar",2457,14991,16.39
PC0,"Saudi Arabia",2457,14991,16.39
PC0,"Singapore",2457,14991,16.39
PC0,"South Korea",2457,14991,16.39
PC0,"Sri Lanka",2457,14991,16.39
PC0,"Syria",2457,14991,16.39
PC0,"Taiwan",2457,14991,16.39
PC0,"Tajikistan",2457,14991,16.39
PC0,"Thailand",2457,14991,16.39
PC0,"Turkey",2457,14991,16.39
PC0,"Turkmenistan",2457,14991,16.39
PC0,"United Arab Emirates",2457,14991,16.39
PC0,"Uzbekistan",2457,14991,16.39
PC0,"Vietnam",2457,14991,16.39
PC0,"Yemen",2457,14991,16.39
PC1,"Afghanistan",12534,14991,83.61
PC1,"Armenia",12534,14991,83.61
PC1,"Azerbaijan",12534,14991,83.61
PC1,"Bahrain",12534,14991,83.61
PC1,"Bangladesh",12534,14991,83.61
PC1,"Bhutan",12534,14991,83.61
PC1,"Brunei",12534,14991,83.61
PC1,"Burma",12534,14991,83.61
PC1,"Cambodia",12534,14991,83.61
PC1,"China",12534,14991,83.61
PC1,"Cyprus",12534,14991,83.61
PC1,"East Timor",12534,14991,83.61
PC1,"Georgia",12534,14991,83.61
PC1,"Hong Kong",12534,14991,83.61
PC1,"India",12534,14991,83.61
PC1,"Indonesia",12534,14991,83.61
PC1,"Iran",12534,14991,83.61
PC1,"Iraq",12534,14991,83.61
PC1,"Israel",12534,14991,83.61
PC1,"Japan",12534,14991,83.61
PC1,"Jordan",12534,14991,83.61
PC1,"Kazakhstan",12534,14991,83.61
PC1,"Kuwait",12534,14991,83.61
PC1,"Kyrgyzstan",12534,14991,83.61
PC1,"Laos",12534,14991,83.61
PC1,"Lebanon",12534,14991,83.61
PC1,"Macau",12534,14991,83.61
PC1,"Malaysia",12534,14991,83.61
PC1,"Maldives",12534,14991,83.61
PC1,"Mongolia",12534,14991,83.61
PC1,"Nepal",12534,14991,83.61
PC1,"North Korea",12534,14991,83.61
PC1,"Oman",12534,14991,83.61
PC1,"Pakistan",12534,14991,83.61
PC1,"Philippines",12534,14991,83.61
PC1,"Qatar",12534,14991,83.61
PC1,"Saudi Arabia",12534,14991,83.61
PC1,"Singapore",12534,14991,83.61
PC1,"South Korea",12534,14991,83.61
PC1,"Sri Lanka",12534,14991,83.61
PC1,"Syria",12534,14991,83.61
PC1,"Taiwan",12534,14991,83.61
PC1,"Tajikistan",12534,14991,83.61
PC1,"Thailand",12534,14991,83.61
PC1,"Turkey",12534,14991,83.61
PC1,"Turkmenistan",12534,14991,83.61
PC1,"United Arab Emirates",12534,14991,83.61
PC1,"Uzbekistan",12534,14991,83.61
PC1,"Vietnam",12534,14991,83.61
PC1,"Yemen",12534,14991,83.61
PC2,"Algeria",299,1084,27.58
PC2,"Angola",299,1084,27.58
PC2,"Benin",299,1084,27.58
PC2,"Botswana",299,1084,27.58
PC2,"Burkina Faso",299,1084,27.58
PC2,"Burundi",299,1084,27.58
PC2,"Cameroon",299,1084,27.58
PC2,"Cape Verde",299,1084,27.58
PC2,"Central African Republic",299,1084,27.58
PC2,"Chad",299,1084,27.58
PC2,"Comoros",299,1084,27.58
PC2,"Cote d'Ivoire",299,1084,27.58
PC2,"Democratic Republic of the Congo",299,1084,27.58
PC2,"Djibouti",299,1084,27.58
PC2,"Egypt",299,1084,27.58
PC2,"Equatorial Guinea",299,1084,27.58
PC2,"Eritrea",299,1084,27.58
PC2,"Ethiopia",299,1084,27.58
PC2,"Gabon",299,1084,27.58
PC2,"Gambia",299,1084,27.58
PC2,"Ghana",299,1084,27.58
PC2,"Guinea",299,1084,27.58
PC2,"Guinea-Bissau",299,1084,27.58
PC2,"Kenya",299,1084,27.58
PC2,"Lesotho",299,1084,27.58
PC2,"Liberia",299,1084,27.58
PC2,"Libya",299,1084,27.58
PC2,"Madagascar",299,1084,27.58
PC2,"Malawi",299,1084,27.58
PC2,"Mali",299,1084,27.58
PC2,"Mauritania",299,1084,27.58
PC2,"Mauritius",299,1084,27.58
PC2,"Morocco",299,1084,27.58
PC2,"Mozambique",299,1084,27.58
PC2,"Namibia",299,1084,27.58
PC2,"Niger",299,1084,27.58
PC2,"Nigeria",299,1084,27.58
PC2,"Republic of the Congo",299,1084,27.58
PC2,"Reunion",299,1084,27.58
PC2,"Rwanda",299,1084,27.58
PC2,"Saint Helena",299,1084,27.58
PC2,"Sao Tome and Principe",299,1084,27.58
PC2,"Senegal",299,1084,27.58
PC2,"Seychelles",299,1084,27.58
PC2,"Sierra Leone",299,1084,27.58
PC2,"Somalia",299,1084,27.58
PC2,"South Africa",299,1084,27.58
PC2,"South Sudan",299,1084,27.58
PC2,"Sudan",299,1084,27.58
PC2,"Swaziland",299,1084,27.58
PC2,"Tanzania",299,1084,27.58
PC2,"Togo",299,1084,27.58
PC2,"Tunisia",299,1084,27.58
