IND,0,1,2
HG03259,1e-05,0.99998,1e-05
HG03265,1e-05,0.99998,1e-05
HG03267,1e-05,0.99998,1e-05
HG03268,1e-05,0.99998,1e-05
HG03270,1e-05,0.99998,1e-05
HG03271,1e-05,0.99998,1e-05
HG03279,1e-05,0.99998,1e-05
HG03280,1e-05,0.99998,1e-05
HG03291,1e-05,0.99998,1e-05
HG03294,1e-05,0.99998,1e-05
HG03295,1e-05,0.99998,1e-05
HG03297,1e-05,0.99998,1e-05
HG03298,1e-05,0.99998,1e-05
HG03300,1e-05,0.99998,1e-05
HG03301,1e-05,0.99998,1e-05
HG03303,1e-05,0.99998,1e-05
HG03304,1e-05,0.99998,1e-05
HG03311,1e-05,0.99998,1e-05
HG03313,1e-05,0.99998,1e-05
HG03342,1e-05,0.99998,1e-05
HG03343,1e-05,0.99998,1e-05
HG03351,1e-05,0.99998,1e-05
HG03352,1e-05,0.99998,1e-05
HG03354,1e-05,0.99998,1e-05
HG03363,1e-05,0.99998,1e-05
HG03366,1e-05,0.99998,1e-05
HG03367,1e-05,0.99998,1e-05
HG03369,1e-05,0.99998,1e-05
HG03370,1e-05,0.99998,1e-05
HG03372,1e-05,0.99998,1e-05
HG03376,1e-05,0.99998,1e-05
HG03378,1e-05,0.99998,1e-05
HG03380,1e-05,0.99998,1e-05
HG03382,1e-05,0.99998,1e-05
HG03385,1e-05,0.99998,1e-05
HG03388,1e-05,0.99998,1e-05
HG03391,1e-05,0.99998,1e-05
HG03394,1e-05,0.99998,1e-05
HG03397,1e-05,0.99998,1e-05
HG03401,1e-05,0.99998,1e-05
HG03410,1e-05,0.99998,1e-05
HG03419,1e-05,0.99998,1e-05
HG03428,1e-05,0.99998,1e-05
HG03432,1e-05,0.99998,1e-05
HG03433,1e-05,0.99998,1e-05
HG03436,1e-05,0.99998,1e-05
HG03437,1e-05,0.99998,1e-05
HG03439,1e-05,0.99998,1e-05
HG03442,1e-05,0.99998,1e-05
HG03445,1e-05,0.99998,1e-05
HG03446,1e-05,0.99998,1e-05
HG03449,1e-05,0.99998,1e-05
HG03451,1e-05,0.99998,1e-05
HG03452,1e-05,0.99998,1e-05
HG03455,1e-05,0.99998,1e-05
HG03457,1e-05,0.99998,1e-05
HG03458,1e-05,0.99998,1e-05
HG03460,1e-05,0.99998,1e-05
HG03461,1e-05,0.99998,1e-05
HG03464,1e-05,0.99998,1e-05
HG03469,1e-05,0.99998,1e-05
HG03470,1e-05,0.99998,1e-05
HG03472,1e-05,0.99998,1e-05
HG03473,1e-05,0.99998,1e-05
HG03476,1e-05,0.99998,1e-05
HG03478,1e-05,0.99998,1e-05
HG03479,1e-05,0.99998,1e-05
HG03484,1e-05,0.99998,1e-05
HG03485,1e-05,0.99998,1e-05
HG03499,1e-05,0.99998,1e-05
HG03511,1e-05,0.99998,1e-05
HG03514,1e-05,0.99998,1e-05
HG03515,1e-05,0.99998,1e-05
HG03517,1e-05,0.99998,1e-05
HG03518,1e-05,0.99998,1e-05
HG03520,1e-05,0.99998,1e-05
HG03521,1e-05,0.99998,1e-05
HG03538,1e-05,0.99998,1e-05
HG03547,1e-05,0.99998,1e-05
HG03548,1e-05,0.99998,1e-05
HG03556,1e-05,0.99998,1e-05
HG03557,1e-05,0.99998,1e-05
HG03558,1e-05,0.99998,1e-05
HG03559,1e-05,0.99998,1e-05
HG03563,1e-05,0.99998,1e-05
HG03565,1e-05,0.99998,1e-05
HG03567,1e-05,0.99998,1e-05
HG03571,1e-05,0.99998,1e-05
HG03572,1e-05,0.99998,1e-05
HG03575,1e-05,0.99998,1e-05
HG03577,1e-05,0.99998,1e-05
HG03578,1e-05,0.99998,1e-05
HGDP00449,1e-05,0.99998,1e-05
HGDP00450,1e-05,0.99998,1e-05
HGDP00452,1e-05,0.99998,1e-05
HGDP00453,1e-05,0.99998,1e-05
HGDP00454,1e-05,0.99998,1e-05
