Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00149	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00150	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00151	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00154	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00155	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00157	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00158	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00159	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00160	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00171	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00173	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00174	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656		LP6005442-DNA_D10	Finland		1
HG00176	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00177	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00178	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00179	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00180	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00181	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00182	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00183	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00185	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00186	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00187	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00188	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00189	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00190	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656		LP6005442-DNA_C10	Finland		1
HG00231	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00232	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00233	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00234	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00235	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00236	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00237	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00238	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00239	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00240	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00242	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00243	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00244	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00245	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00246	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00250	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00251	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00252	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00253	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00254	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00255	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00256	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00257	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00258	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00259	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00260	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00261	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00262	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00263	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00264	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00265	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00266	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00267	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00268	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00269	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00271	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00272	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00273	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00274	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00275	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00276	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
